distancia_km,trafico,clima,hora_pico,tiempo_entrega
99.8850227882743,60.357447262131046,0,1,130.08674186168497
89.44160492333113,15.312794213724246,1,1,89.20968104552702
28.31147446092384,96.26826917575336,0,0,75.78331415661575
5.913093976782868,17.685002426076736,0,1,33.57297639446466
88.05208629235123,61.6258070500343,0,1,121.25457255889812
15.430747716747472,42.4191794938241,0,0,38.55418792031003
84.35555774191175,14.421043469576468,0,0,79.69496792831764
79.0623127189378,59.989323482644885,0,1,113.24451191647267
98.1385712887235,94.21692829572837,0,0,130.61932117884297
92.1081549115228,92.360309174214,1,1,129.86667851632524
72.360490387022,15.969199457255868,1,1,75.87299203824554
48.07185150393734,56.79415034062784,0,0,71.8545563734638
65.29090446614151,54.38972911219173,0,0,84.42758812900908
65.32565178581281,51.80326866419649,1,0,73.16215576074849
97.94441872781294,61.74959532641835,1,1,119.23033264545954
81.24018849719465,15.875760342611112,1,1,82.93003096906128
0.9405624411574663,43.112364404225325,1,0,17.308632155038637
33.87553602224169,31.177496353257872,1,1,52.68917699442229
75.7433062866843,16.378503383759636,0,0,73.78389672122726
92.56656451792658,12.377968170245046,0,0,85.24223569946379
16.933169714403096,41.14999346910084,1,1,44.121532506072896
39.26826973763314,21.87031439935717,1,0,37.349772989785095
21.19089796561503,32.95730930684652,0,0,38.431373025915285
7.867536797532315,67.19170069485739,1,0,34.889879785454546
46.169142827956655,44.34479052521871,0,1,79.10770952497468
14.740915529577316,23.768384737351724,1,0,18.676924792337715
91.96107482331077,73.64435633696557,1,0,105.3910380271314
7.125624788231089,31.210258927702995,0,1,41.30562929443637
89.22587866993032,10.14271759627957,0,1,96.45206173408404
17.71266004320561,2.1980793746437577,0,0,20.26916772188637
24.29699627166467,44.42994018633905,0,1,61.65256711050127
86.58177595831545,91.9671481537166,0,1,135.24899484351067
39.763097456018585,71.43482117793596,1,0,62.52788855378285
56.41477248621971,19.38157782033243,0,1,74.82260689914199
72.01304085534724,72.49390371321944,0,0,98.85738454088752
72.98408340796925,60.70801660097612,1,1,98.74127502686346
2.423810051762465,14.397948933468872,1,0,10.0
6.250914189484503,58.66675516991062,0,0,39.33410893654291
51.10890333896432,97.18418108118976,1,0,84.47921321176634
64.55800318526607,6.9205313382557865,1,0,50.106668217340754
97.9709410729711,11.425986738156036,0,1,104.08974622745492
5.539028414335256,68.07832185473485,1,1,48.47038365883563
13.735058178816162,49.78826269358867,0,0,40.88217788984727
97.77453207254712,39.22698744495912,0,0,102.83311938051727
42.98116596740791,85.970537913186,0,1,97.37020173051934
44.69247036221384,59.25857647882805,1,0,60.3832645291851
53.414777008643576,41.35580393201238,0,0,68.40972357292105
76.16550820287145,30.0102225699727,1,0,70.93751784728352
23.69720041894595,47.98899649763917,1,1,52.952258583976345
11.714760140474445,74.69413185659464,1,1,56.71887404067687
85.97300910886408,90.4860386709147,0,1,134.02142662254863
48.16651102444499,43.179327730267424,1,1,70.12287268468971
8.01617700802998,58.10209461014284,1,1,45.463988911495406
19.561497447392107,99.67420459891694,1,0,60.48630025737216
36.55674428316347,91.99977179696025,1,1,85.2452813250109
56.601573881937895,80.96954185970826,1,1,95.76603003540444
0.5839805501845707,93.81845068956544,1,1,57.37640978493038
93.48780248205172,84.29243748988088,0,1,136.9364607305818
